__time,/ground_truth/pose/pose/position/x,/ground_truth/pose/pose/position/y,/ground_truth/pose/pose/position/z,/ground_truth/pose/pose/orientation/yaw
1719597316.971003,3.674987731,0.085845859,-0.001087647,0.246670486
1719597316.972057,3.675235726,0.08591633,-0.001087887,0.246759675
1719597316.973,3.675484425,0.085986522,-0.001088121,0.246848581
1719597316.974015,3.675733566,0.086055573,-0.001088276,0.246937107
1719597316.97503,3.67598291,0.086123016,-0.001088297,0.247025142
1719597316.976062,3.676232232,0.086188679,-0.001088132,0.247112563
1719597316.976998,3.676481334,0.0862526,-0.001087734,0.247199256
1719597316.978059,3.676728313,0.086317764,-0.001087256,0.247285286
1719597316.979002,3.676972213,0.086378506,-0.001087427,0.24737555
1719597316.980022,3.677213722,0.086435301,-0.001088066,0.247468725
1719597316.9811,3.677453868,0.086488877,-0.001088954,0.247561833
1719597316.982106,3.677693072,0.086540834,-0.001089938,0.247654061
1719597316.983103,3.677931537,0.086592616,-0.001090915,0.247745359
1719597316.984093,3.678169435,0.086645209,-0.001091806,0.247835777
1719597316.985091,3.678406943,0.086699193,-0.001092548,0.24792537
1719597316.985997,3.678644238,0.086754835,-0.001093089,0.248014205
1719597316.987108,3.678881492,0.08681218,-0.001093382,0.248102364
1719597316.988056,3.679118875,0.086871099,-0.001093383,0.248189903
1719597316.989093,3.679356558,0.08693134,-0.001093056,0.248276839
1719597316.990062,3.679594671,0.086992615,-0.001092367,0.248363182
1719597316.990999,3.679833333,0.087054667,-0.001091282,0.24844905
1719597316.992072,3.680072615,0.087117261,-0.001089777,0.248534489
1719597316.99308,3.680312416,0.087180314,-0.001087829,0.248619553
1719597316.994093,3.680554124,0.087240687,-0.001085671,0.248704083
1719597316.99509,3.680798908,0.087303163,-0.001084026,0.248794212
1719597316.996066,3.681045555,0.087369904,-0.001082702,0.248884763
1719597316.997021,3.681293427,0.087439362,-0.001081503,0.248974987
1719597316.998104,3.681542131,0.087509827,-0.001080301,0.24906479
1719597316.999097,3.681791377,0.087580011,-0.00107901,0.249154108
1719597317.000036,3.682039188,0.087651889,-0.001077764,0.249243054
1719597317.001077,3.682284558,0.0877191,-0.001077284,0.249336452
1719597317.002081,3.682528077,0.087781675,-0.001077389,0.249432963
1719597317.003011,3.682770663,0.087840102,-0.001077862,0.249529561
1719597317.004027,3.683016655,0.087888404,-0.001079277,0.249625557
1719597317.005081,3.683259232,0.087941133,-0.001082033,0.249720317
1719597317.005999,3.683499968,0.087996439,-0.001085614,0.249814184
1719597317.007067,3.683739614,0.088053745,-0.001089715,0.249907383
1719597317.007998,3.683978616,0.088112629,-0.00109414,0.249999959
1719597317.009015,3.684217283,0.088172751,-0.001098748,0.250091861
1719597317.010027,3.684455837,0.088233846,-0.001103422,0.250183034
1719597317.011115,3.684694449,0.088295698,-0.001108056,0.250273435
1719597317.012009,3.68493325,0.088358124,-0.001112554,0.250363016
1719597317.013026,3.685172341,0.088420972,-0.001116824,0.250451734
1719597317.014019,3.685411794,0.088484117,-0.001120776,0.250539545
1719597317.015035,3.685651656,0.088547463,-0.001124328,0.250626408
1719597317.016007,3.685891955,0.088610935,-0.001127401,0.250712287
1719597317.017062,3.686132695,0.088674482,-0.001129921,0.250797148
1719597317.018024,3.686375337,0.088734681,-0.00113207,0.250881365
1719597317.019074,3.686618826,0.088801233,-0.001134777,0.250971916
1719597317.020011,3.686861085,0.088869094,-0.001138705,0.251068534
1719597317.021067,3.687102435,0.088936505,-0.00114346,0.251168649
1719597317.022044,3.687343837,0.089001986,-0.001148658,0.251268601
1719597317.023041,3.687585567,0.08906572,-0.001154036,0.251367423
1719597317.024136,3.687827612,0.089128324,-0.001159414,0.251465063
1719597317.025048,3.688069913,0.089190328,-0.001164657,0.251561523
1719597317.02606,3.688312415,0.089252124,-0.001169655,0.251656769
1719597317.027056,3.68855507,0.089313988,-0.001174313,0.251750765
1719597317.028019,3.688797835,0.089376101,-0.001178544,0.251843487
1719597317.029119,3.689040674,0.089438565,-0.00118227,0.251934917
1719597317.030035,3.68928356,0.08950142,-0.001185416,0.252025048
1719597317.031064,3.689526473,0.08956466,-0.001187916,0.252113878
1719597317.032057,3.689769397,0.089628249,-0.00118971,0.252201415
1719597317.033015,3.690012321,0.089692136,-0.001190743,0.252287671
1719597317.034072,3.690255235,0.08975626,-0.00119097,0.252372668
1719597317.035157,3.690498134,0.089820561,-0.001190349,0.252456433
1719597317.036078,3.690741021,0.089884949,-0.001188848,0.25253896
1719597317.037075,3.690983909,0.08994931,-0.00118644,0.252620182
1719597317.038046,3.691224646,0.090017766,-0.001183285,0.252700652
1719597317.039086,3.691462448,0.090082729,-0.00118029,0.252785982
1719597317.040085,3.691699775,0.090140775,-0.001177567,0.252875076
